W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
W,4,12,5,17.3,7,7.6,4.4,2,1.7
L,-12,16,6,0,0,-0.1,32.1,3,12.6
W,6,2,1,9.4,9,8.5,23.4,3,4.7
W,9,4,1,1,2,5.7,15.4,2,4.3
L,-6,4,2,18.9,3,3.1,21.4,2,5.8
L,-13,3,3,11.1,4,5.5,19.2,2,4.1
W,7,14,3,6.9,1,1.6,2.6,2,2.7
W,15,11,4,10,0,0.7,22.2,3,3.2
L,-11,6,3,19.5,0,1,26.5,3,4.8
L,-11,2,1,11,1,2.1,26.4,3,3.4
L,-11,8,4,21.1,0,0.9,22.9,3,6.6
W,9,12,4,11,2,1.8,3,2,0.1
L,-21,3,1,18,0,0.9,25.6,3,3.4
L,-26,2,2,0,1,1.4,14.1,2,1.4
W,7,4,2,11,4,3.6,8.3,2,1.7
L,-16,4,3,16.4,0,0,3.1,2,3.8
L,-5,5,3,16.4,6,6,3.8,2,2
L,-20,1,1,8,0,1,22,3,6.2
L,-17,10,2,4.1,3,3.9,20.8,2,2.7
L,-12,3,1,15.8,9,7.5,23.9,3,5.1
L,-7,3,1,8.1,1,2.7,4.5,2,2.1
W,15,6,3,17.9,0,1.1,25.5,3,6.2
L,-36,8,4,11,3,2.6,7,2,2.2
L,-12,1,1,12.9,0,0.8,25.3,3,5.9
L,-25,6,4,22.4,0,2.6,3.2,2,2.3
L,-18,1,1,4.2,0,0.9,22.4,3,5.1
L,-11,1,3,11.3,0,1.2,23.6,3,5.2
L,-36,7,3,10.9,0,0.9,24.2,3,4.7
L,-18,7,4,4.2,0,1.6,1.3,2,1.3
L,-11,9,4,2.4,1,2,18.7,2,8.2
W,16,5,2,13.7,1,0.9,6.8,2,3.4
L,-42,1,3,6,0,0.6,22.9,3,5.6
L,-17,3,1,21.9,0,1.2,26.3,3,8.9
W,24,4,1,12,2,2.9,22,2,8.8
W,13,5,3,12.6,2,2.9,5.4,2,2.9
W,12,4,1,11.4,7,6.5,5.4,2,1.6
W,16,3,3,19.2,1,2.1,5.1,2,1.8
L,-16,3,1,9.1,1,4,20.1,2,4.2
W,5,5,1,10.7,0,1.6,0.9,2,0.8
W,6,5,1,14.6,0,0.6,4.3,2,1.4
W,17,5,2,9,1,3.3,17.5,2,6.4
W,1,6,3,13.8,3,4.9,7.2,2,2.9
L,-1,7,3,0,0,0.8,21.7,2,7.1
W,6,1,2,14.8,0,0.9,18.8,2,4.8
W,26,6,4,9.1,0,1,15.1,2,4.3
W,9,4,2,5.6,1,1,7.6,2,2.6
L,-16,3,2,5.5,2,3,5.5,2,2.9
W,30,6,4,13.2,0,1,20.5,2,7.3
W,1,2,1,21.6,0,3.8,2.8,2,1.7
W,5,10,4,10,2,2.1,4.4,2,2.5
W,6,14,4,2.8,0,0.7,21.7,2,7.5
W,5,3,1,9.5,1,2.7,18.8,2,4.8
L,-12,3,1,4,1,1.6,24.9,3,4.5
L,-10,7,3,6.7,0,0.8,18.8,2,4.6
W,8,3,1,15.2,2,2.6,8.9,2,4.2
W,5,7,2,2.3,1,1.3,18.8,2,3
W,7,8,4,10.5,1,2.4,9.2,2,3.6
W,12,10,3,0,1,0.8,26.1,3,6.4
L,-6,12,3,12.2,11,10.9,8.9,2,2.6
W,26,8,2,16.7,10,7.9,19.2,2,4.9
W,5,7,2,6.3,0,1,24,3,9
W,2,12,4,13.7,3,3.2,9.8,2,0.3
L,-10,4,4,16,2,4.4,10.5,2,3.4
L,-11,2,2,8.4,0,1.2,20.7,2,5.7
L,-14,3,2,8.7,0,0.8,2.3,2,0.7
