"shot_id","GAME_ID","MATCHUP","LOCATION","W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_DIST(ft)","PTS_TYPE","CLOSEST_DEFENDER","CLOSEST_DEFENDER_PLAYER_ID","CLOSE_DEF_DIST(ft)","FGM","PTS","player_name","player_id"
"38095","21400120","NOV 13, 2014 - DAL vs. PHI","H","W","53","2","4","6:48","16.3","0","0.9","24.8","3","Thompson, Hollis","203138","7.4","0","0","charlie villanueva","101111"
"38306","21400180","NOV 21, 2014 - DAL vs. LAL","H","W","34","2","1","3:44","11.6","0","0.9","24.8","3","Price, Ronnie","101179","4.3","0","0","al farouq aminu","202329"
"38393","21400797","FEB 11, 2015 - DAL vs. UTA","H","W","5","11","4","2:08","8.8","0","0.7","23","3","Hayward, Gordon","202330","7","0","0","chandler parsons","202718"
"38490","21400660","JAN 25, 2015 - DAL @ NOP","A","L","-3","3","2","6:13","15","0","0.9","19.1","2","Pondexter, Quincy","530027","6","0","0","chandler parsons","202718"
"39001","21400027","NOV 01, 2014 - DAL @ NOP","A","W","5","3","1","4:39","16.1","7","6.9","8.5","2","Anderson, Ryan","201583","2.1","0","0","chandler parsons","202718"
"39005","21400027","NOV 01, 2014 - DAL @ NOP","A","W","5","7","2","3:09","6.7","0","1.2","26.4","3","Davis, Anthony","203076","2.9","0","0","chandler parsons","202718"
"39559","21400572","JAN 13, 2015 - DAL @ SAC","A","W","4","8","3","1:53","6.3","1","6.2","14.9","2","Williams, Derrick","202682","3.3","0","0","dirk nowtizski","1717"
"39908","21400188","NOV 22, 2014 - DAL @ HOU","A","L","-3","8","3","11:03","11.5","2","2.7","4.6","2","Black, Tarik","204028","1.7","0","0","dirk nowtizski","1717"
"39916","21400188","NOV 22, 2014 - DAL @ HOU","A","L","-3","16","4","9:42","12.9","0","0.6","24.1","3","Terry, Jason","1891","1.4","0","0","dirk nowtizski","1717"
"40075","21400019","OCT 30, 2014 - DAL vs. UTA","H","W","18","9","3","10:01","5.3","0","0.8","11.5","2","Kanter, Enes","202683","7.9","0","0","dirk nowtizski","1717"
"40187","21400723","FEB 02, 2015 - ORL @ OKC","A","L","-7","2","1","9:53","17","0","0.7","4.5","2","Westbrook, Russell","201566","3.1","0","0","tobias harris","202699"
"40241","21400645","JAN 23, 2015 - ORL @ NYK","A","L","-7","1","1","6:18","17.4","1","1.5","24.5","3","Anthony, Carmelo","2546","8.3","0","0","tobias harris","202699"
"40266","21400629","JAN 21, 2015 - ORL @ DET","A","L","-10","12","4","3:45","7.4","2","2.7","11.5","2","Drummond, Andre","203083","4.3","0","0","tobias harris","202699"
"40616","21400161","NOV 19, 2014 - ORL vs. LAC","H","L","-24","3","1","5:55","7.2","2","5.2","6.6","2","Barnes, Matt","2440","1.8","0","0","tobias harris","202699"
"41129","21400272","DEC 03, 2014 - ORL @ LAC","A","L","-28","3","1","10:07","6.3","0","0.8","6.1","2","Redick, JJ","200755","2.7","0","0","evan fournier","203095"
